"id","type","latitude","longitude","name","price"
"1","sale","51.60979","-0.31119","name",""
"2","sale","51.56861","-0.1127","Holiday London DB Room Let-on going","57.0"
"3","rent","51.4878","-0.16813","Bright Chelsea  Apartment. Chelsea!",""
"4","sale","51.52195","-0.14094","Very Central Modern 3-Bed/2 Bath By Oxford St W1","510.0"
"5","rent","51.47072","-0.16266","Battersea live/work artist house","213.0"
"6","rent","51.52425","-0.06997","Bright  compact 1 Bedroom Apartment Brick Lane","100.0"
"7","rent","51.4641","-0.32498","Beautiful Ensuite Richmond-upon-Thames borough","133.0"
"8","rent","51.48085","-0.28086","Kew Gardens 3BR house in cul-de-sac","245.0"
"9","sale","51.58478","-0.16057","You are GUARANTEED to love this","74.0"
"10","rent","51.50701","-0.23362","CHARMING FAMILY HOME",""
"11","sale","51.58684","-0.08632","Room 1 Large Double Bedroom - front ground floor","52.0"
"12","sale","51.4786","-0.06114","SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT","48.0"
"13","sale","51.52605","-0.19942","Stylish bedsit in Notting Hill ish flat.",""
"14","rent","51.61492","-0.25632","2 Double bed apartment in quiet area North London","213.0"
"15","sale","51.49351","-0.25568","Room in maisonette in chiswick",""
"16","sale","51.5584","0.00258","Room in relaxed family house!",""
"17","sale","51.5859","-0.16434","You Will Save Money Here","55.0"
"18","rent","51.50822","-0.21562","Fabulous flat w garden and bkfst!",""
"19","sale","51.48164","-0.21082","Quiet Comfortable Room in Fulham","66.0"
"20","sale","51.53031","-0.21713","Beautiful 1 bed apt in Queens Park",""
"21","sale","51.5979","-0.24327","DOUBLE ROOM IN A PENTHOUSE APARTMEN","37.0"
"22","sale","51.55312","-0.1975","Room with a garden","43.0"
"23","sale","51.51812","-0.1977","Best Part of Town -Home from Home!",""
"24","rent","51.48063","-0.18175","One Bedroom Apartment with 24h Security","173.0"
"25","rent","51.52958","-0.14344","Pleasant Single Room in zone 1.","53.0"
"26","sale","51.4934","-0.22929","Cosy Double studio in Zone 2 Hammersmith (6)","75.0"
"27","sale","51.49462","-0.22923","Beautiful Small Studio Hammersmith","75.0"
"28","rent","51.41927","-0.21223","Close to Wimbledon All England Tennis -huge double",""
"29","rent","51.49547","-0.22942","Cosy Double studio in Zone 2 Hammersmith (1)","71.0"
"30","sale","51.52435","-0.06938","3 Bedrm with Garden off Brick lane refurbd Oct24","230.0"
"31","sale","51.49547","-0.22864","Cosy Double studio in Zone 2 Hammersmith (4)","63.0"
"32","sale","51.4937","-0.22914","Cosy Double studio in Zone 2 Hammersmith (3)","75.0"
"33","sale","51.54092","-0.05905","Sunny studio with park views","130.0"
"34","rent","51.60268","-0.26268","NICE FAMILY HOME opposite NATURAL LANDSCAPED PARK","40.0"
"35","rent","51.59031","-0.09408","Spacious single room in quiet flat",""
"36","rent","51.48128","-0.11593","Dbl en suite @ Oval tube Sth London",""
"37","sale","51.44563","-0.14195","Bright + Spacious In Balham + Air-conditioned","58.0"
"38","rent","51.46161","-0.11023","2 bed/2 bath luxury flat with city view!","107.0"
"39","rent","51.57322","0.01045","Peaceful Room Near Epping Forest",""
"40","sale","51.46478","-0.08007","Bright single room in family home.","40.0"
"41","rent","51.39648","-0.2117","Double Room 2 Miles from Wimbledon in Morden SM4","51.0"
"42","rent","51.49096","-0.16183","Chelsea Studio by Kings Road London",""
"43","rent","51.45173","-0.15556","Pretty Self Contained Coach House","110.0"
"44","sale","51.53917","-0.10221","Bright spacious 2 bed in Islington",""
"45","rent","51.40644","-0.33563","Luxury Self contained Studio Apt.","168.0"
"46","rent","51.52139","-0.13932","Family-friendly Airbnb in Fitzrovia","320.0"
"47","sale","51.51045","-0.066283","Stylish Central London Flat with Pool and Terrace","122.0"
"48","sale","51.58388","0.15463","LONDON DETACHED HOUSE*ElecGates etc","190.0"
"49","sale","51.46709","0.0437","Spacious Bright Room in SE3","43.0"
"50","sale","51.4866805584786","-0.1074127916182925","Designer room Park Views 4 mins zone 1 station","42.0"
"51","sale","51.49168","-0.1157","Maisonette in Central London Zone 1","68.0"
"52","rent","51.5107","-0.18997","ChiqDoube Room in PrivateAppartment",""
"53","sale","51.44742","-0.43175","1 bed apt 30 mins from Windsor castle",""
"54","sale","51.56792","-0.11125","London Holiday Flat Let-Islington","140.0"
"55","sale","51.488117114663645","-0.2255275618510442","Luxury En-suite Room near Tube and River","74.0"
"56","sale","51.52361","-0.11591","Georgian Apartment in Bloomsbury","125.0"
"57","rent","51.55918","-0.07416","Room in friendly house share",""
"58","sale","51.5067","-0.24775","Spacious luxury 2 bedroom apartment","91.0"
"59","sale","51.54696","-0.07016","Stylish apartment in trendy Dalston","117.0"
"60","rent","51.51464","-0.20004","Notting Hill church stay in Heaven!",""
"61","sale","51.52185","0.02417","Large single bedroom nr Canning Town (7 mins bus)","37.0"
"62","rent","51.52185","0.02417","Single room near Canning Town (7 mins by bus)",""
"63","sale","51.54039","-0.14282","Architect designed Camden canalside townhouse",""
"64","rent","51.46139","0.05421","Single Room in Creative House","40.0"
"65","rent","51.48641","-0.21277","Home from Home in the heart of London","118.0"
"66","sale","51.57537","0.00536","A people person awaits you here!","48.0"
"67","sale","51.41877","-0.16772","bedroom to rent in SW17 - London",""
"68","rent","51.56049","-0.40791","london is waiting for you",""
"69","sale","51.58358","-0.1177","Stylish 3 Bed 2 Bath Apartment Gdn + cafe culture","189.0"
"70","sale","51.51806","-0.01719","Single Room for the Olympic Games!",""
"71","sale","51.54072","0.15246","Spacious Double Room in East London",""
"72","sale","51.49739","-0.10146","Amazing view 2bed Zone1 central",""
"73","rent","51.54655","-0.16495","4 bedroom (+nursery) designer pad Belsize Park","529.0"
"74","rent","51.52197","-0.14035","Wow! Trendy Fitzrovia W1 Penthouse: Sunny Terrace","275.0"
"75","rent","51.52577","-0.13726","Cat-sit in Gorgeous West-End Walk-up",""
"76","sale","51.49927","0.10729","A Modern Double Room in Greenwich.","37.0"
"77","sale","51.46934","-0.10136","peaceful double room 5mins from King's Hospital","41.0"
"78","rent","51.41779","-0.15163","LUXURIOUS  APART.30 MIN LONDON","305.0"
"79","sale","51.52704","-0.08129","Large One Bedroom Apartment by Hoxton Square","162.0"
"80","rent","51.53347","-0.23292","Pretty Home Kensal Green NW10 1 bed",""
"81","rent","51.55896","-0.08297","Comfy Family Home in London","149.0"
"82","rent","51.47565","-0.15073","Stylish 2 bedroom London flat","180.0"
"83","rent","51.48383","-0.11655","Double Room nr Oval Vauxhall Tubes",""
"84","sale","51.54289","-0.14541","Double Room by Camden Market","76.0"
"85","rent","51.66328","-0.05634","Trendy London Apartment","89.0"
"86","rent","51.61607","-0.02982","safe and spacious room in comfy family home","25.0"
"87","sale","51.49113","-0.19482","Central London flat for Olympics",""
"88","rent","51.5385","-0.14719","Hotel-style room in Camden Town","87.0"
"89","rent","51.49897","-0.20395","Fantastic location Double room","85.0"
"90","sale","51.47043","-0.17155","Double Room in a Family House in Clapham/Battersea","45.0"
"91","rent","51.53861","-0.09678","Lovely flat in the heart of Islington","171.0"
"92","rent","51.55311","0.02273","worth to stay.you will never regret",""
"93","rent","51.54897","-0.18309","Big House for Olympics sleeps 6 to8","559.0"
"94","rent","51.48089","-0.14775","Apartment by Battersea Power Station","94.0"
"95","sale","51.54113","-0.09881","Flat in Islington",""
"96","sale","51.55104","-0.08324","modern self contained flat islington","86.0"
"97","sale","51.49993","-0.21707","2 bed West Kensington apartment","175.0"
"98","rent","51.53855","-0.13592","Camden Town on the Regent's Canal","153.0"
"99","rent","51.5186241","-0.1958713","Shown on T.V! Notting Hill Oasis","350.0"
"100","rent","51.52764","-0.05293","Lovely east London ground floor apartment",""
"101","rent","51.5593","-0.22497","Best stay in London","59.0"
"102","sale","51.42996","-0.12161","Lovely Victorian Room Streatham","45.0"
"103","sale","51.57271","-0.13948","Gorgeous Victorian Flat LONDON","99.0"
"104","rent","51.52819","-0.0561","DBL rm near Trendy Shoreth\Brick La",""
"105","sale","51.50551","-0.10952","South Bank Bijou Studio Flat","120.0"
"106","sale","51.52055","-0.18317","JESSIE the narrowboat in Little Venice","131.0"
"107","sale","51.61137","-0.11888","Double Room (Unavailable for check in 31Dec-1Jan)","36.0"
"108","sale","51.50155001001136","-0.2330022236049805","A stylish Victorian home in West London","126.0"
"109","sale","51.55953","-0.14432","Contemporary central London apt","156.0"
"110","sale","51.44777","-0.33962","Double bedroom in cottage Twickenham (sleeps 1-2)",""
"111","rent","51.49147607797261","-0.1115136133491804","Apartment close to centre.","150.0"
"112","sale","51.51099","-0.07862","I Bedroom flat Tower of London","156.0"
"113","rent","51.52197","-0.14035","Great W1 Fitzrovia Find! Near Oxford St. King Bed","250.0"
"114","rent","51.40066","-0.19158","Entire London Town House Next 2 Tube & Wimbledon","218.0"
"115","rent","51.58409","-0.14625","Spacious 2-bed Muswell Hill garden apartment",""
"116","sale","51.4897","-0.13911","great location absolutely central",""
"117","sale","51.46788","-0.09993","A double Room 5mins from King's College Hospital","41.0"
"118","rent","51.51735","-0.21076","Charming Flat in Notting Hill","90.0"
"119","sale","51.51755","-0.20159","charming cozy flat in notting hill","190.0"
"120","sale","51.49185","-0.08823","Stunning 2 Bed Apartment in Elephant & Castle",""
"121","sale","51.50612","-0.14029","STUNNING APT IN ST JAMES","1216.0"
"122","rent","51.49686","-0.02627","A Double Room with  River Views",""
"123","sale","51.45033","-0.18978","Bright&Huge room close to Southside Wandsworth",""
"124","sale","51.53825378417969","-0.0440860018134117","The Residential Suite Above Gallery",""
"125","rent","51.52636","-0.18801","Large Bedroom with EnSuite Bathroom","65.0"
"126","sale","51.51814","-0.21423","1 bedroom in Vibrant Notting Hill","180.0"
"127","sale","51.53753","-0.24013","Newly refurbished 2-bed apartment","150.0"
"128","sale","51.55191","-0.11497","Lovely 1 bed Apartment Islington on Tube Stop",""
"129","sale","51.47368","-0.18217","Stunning 2 bedroom Fulham Riverside Flat Free WIFI",""
"130","sale","51.43855","-0.32191","Quiet Double Room - Good for walks","81.0"
"131","sale","51.50038","-0.10001","Private bathroom & spacious double room","94.0"
"132","sale","51.55119","-0.08582","MODERN Self-Contained ARCHITECT FLAT","114.0"
"133","sale","51.5343","0.08178","Penthouse Living in East London","43.0"
"134","sale","51.51462","-0.05969","London Whitechapel Room with WIFI","41.0"
"135","sale","51.3843","-0.12723","LOVELY & COZY ROOM WITH KITCHENETTE","21.0"
"136","rent","51.48579","-0.10765","Long Stay Cute Studio zone 1","49.0"
"137","sale","51.5851","-0.10277","Private ensuite room in Harringay","51.0"
"138","rent","51.55239","-0.0346","PENDA'S MEAD HOUSE",""
"139","sale","51.51566","-0.17467","Spacious 1 bedrm flat ideal location  FAST WiFI",""
"140","sale","51.45359","0.00925","Room 20 min from central London","39.0"
"141","sale","51.47928","-0.22061","Double room in family house - cost for 1 room only","76.0"
"142","sale","51.52853","-0.07728","Shoreditch Loft","129.0"
"143","sale","51.36646","-0.12118","one Double bed room with en-suite facilities","50.0"
"144","sale","51.48793","-0.04204","Bright room on park near city 7",""
"145","sale","51.5368","-0.07753","Spacious loft conversion - Hackney",""
"146","sale","51.498572121896025","-0.2198980282716872","Bright Beautiful 2 Bedroom Flat",""
"147","rent","51.48668","-0.10513","Cozy double room","66.0"
"148","sale","51.50363","-0.10926","Five minute walk to South Bank","75.0"
"149","rent","51.49609","-0.22782","Beautiful one bed ground floor flat","152.0"
"150","sale","51.51156","-0.19579","Modern Notting Hill Apartment/flat","150.0"
"151","rent","51.56094","-0.10893","Private room in London & cultural Islington","38.0"
"152","sale","51.55314","-0.04586","Beautiful house in trendy E. London",""
"153","rent","51.6371","-0.1186","Stunning double room own bathroom","318.0"
"154","rent","51.52932","-0.08094","Artist City Retreats x 2 - with amazing views!","635.0"
"155","sale","51.53299","-0.0335","Offline","100.0"
"156","sale","51.55532","-0.04932","Beautiful House Lower Clapton Hackney with garden",""
"157","sale","51.55468","-0.13524","Beautiful family house near Hampstead Heath",""
"158","sale","51.52339","-0.31421","Homely room in leafy Ealing.","42.0"
"159","rent","51.51854","0.02291","2 Bedroom London East End Apartment","100.0"
"160","rent","51.44306","-0.01948","Huge Four Bedroom Apartment","266.0"
"161","sale","51.44284","-0.01997","One Bedroom Apartment","98.0"
"162","sale","51.44359","-0.02275","Two Bedroom Newly Refurbished Apartment","148.0"
"163","sale","51.44355","-0.02309","Refurbished Two Bedroom Apartment","144.0"
"164","rent","51.44333","-0.02307","Spacious refurbished 2 bedroom apt with balcony","157.0"
"165","sale","51.44204","-0.02149","Two Bedrooms Garden Maisonette",""
"166","sale","51.44353","-0.02328","One Bedroom Garden Apartment","120.0"
"167","rent","51.44151","-0.02195","Four Bedroom Garden Apartment","194.0"
"168","rent","51.44346","-0.02122","Huge Three Bedroom Flat with parking and terrace","201.0"
"169","sale","51.52617","-0.1302","Central London with Stunning Views!","62.0"
"170","sale","51.50287","-0.10937","Also five minutes to South Bank","70.0"
"171","rent","51.44311","-0.33245","Patio Apartment in London (Twickenham)","73.0"
"172","rent","51.53097","-0.39891","Heathrow BNB - Home Away From Home!",""
"173","rent","51.52845","0.02011","London Stratford OlympicArea / City Airport /Excel","51.0"
"174","sale","51.473328","-0.183576","✦Bright Top Floor Sunset View Modern Chelsea apt✦","261.0"
"175","rent","51.61782","-0.02283","Bright Clean Double Room-Chingford",""
"176","sale","51.57139","-0.03131","Rent for Olympics",""
"177","rent","51.46201","-0.117145","Artistic Pied-à-Terre in Central London","132.0"
"178","sale","51.468505859375","-0.1296959966421127","Over 290 top reviews","175.0"
"179","sale","51.56407","-0.01151","ROOM TO RENT IN THE OLYMPIC PERIOD",""
"180","rent","51.48423","-0.2629","Large Victorian ensuite room",""
"181","sale","51.55301","-0.12364","Light spacious apartment","93.0"
"182","rent","51.50095","-0.25827","Spacious Double Room (R3)","41.0"
"183","rent","51.53098","-0.01191","2 Bed appt overlooking olympic park",""
"184","rent","51.55112","-0.07469","Beautiful warehouse flat in London","95.0"
"185","sale","51.56329","-0.19534","Stylish 2 Bed Apartment with Balcony","93.0"
"186","rent","51.50743","-0.22568","Shepherds Bush W12 Double/Twin Room","59.0"
"187","sale","51.54602","-0.13158","2 bed camden long/short term",""
"188","sale","51.49208","-0.06124","Comfortable room in central flat",""
"189","rent","51.57036","-0.11044","Tranquil Victorian Town House",""
"190","rent","51.40392","-0.09948","NICE DOUBLE ROOM IN A CLEAN  AND QUIET HOUSE","27.0"
"191","sale","51.51213","-0.07788","Awesome 1 Bed Apartment Tower Hill","165.0"
"192","sale","51.45837","-0.03635","LondonVictorian house- room to rent",""
"193","sale","51.48775","-0.27161","Chiswick: Luxury 2 bed maisonette","198.0"
"194","sale","51.41727","-0.12568","Homely Triple Room London 2","39.0"
"195","rent","51.50137","-0.06898","Riverside House Near Iconic Tower Bridge",""
"196","rent","51.53232","-0.00862","2 Bed Flat 5 mins from Olympic Park",""
"197","sale","51.49962","0.03246","Canary Wharf/Excel riverside luxury","135.0"
"198","rent","51.44378","-0.13729","Cosy Room - Balham","55.0"
"199","rent","51.54381","-0.14687","Gorgeous double at Camden Market","61.0"
"200","rent","51.54236","-0.14495","3 Bedroom House by Camden Stables","300.0"
"201","rent","51.52867","-0.09961","High rise flat in Angel Islington","99.0"
"202","sale","51.53688","-0.05537","Beautiful one-bedroom flat in Hackney",""
"203","sale","51.5211","0.02354","Loft near Canning Town station (7 mins by bus)","37.0"
"204","sale","51.54025","-0.22323","4 bed Beautiful west london home","249.0"
"205","rent","51.52847","-0.04278","2 Bed Flat in East London By The Canal W/Balcony",""
"206","sale","51.52776","-0.08271","Charming 2-bed Shoreditch Apartment","220.0"
"207","rent","51.60501","-0.11022","Double room in lovely period house - friendly host","45.0"
"208","rent","51.54145","-0.08834","Olympic let",""
"209","rent","51.5669","-0.27525","Very spacious bedroom in an arty penthouse flat",""
"210","rent","51.42681","0.00684","London Olympic High standard room",""
"211","sale","51.42875","0.00864","London Olympic Easy access to venue",""
"212","sale","51.48621","-0.12126","London Vauxhall - Excellent Option!","138.0"
"213","sale","51.56672","-0.08441","Lovely garden flat - a London oasis",""
"214","rent","51.55952591908847","-0.0611828152716095","Beautiful Artists Home!","144.0"
"215","rent","51.52899","-0.03612","Unique Stylish Flat-Great Location!","86.0"
"216","rent","51.4214","-0.16378","Sunny Victorian Flat in London",""
"217","sale","51.50115","-0.24902","Lovely Self Contained Garden Studio (own entrance)","100.0"
"218","rent","51.59859","-0.00736","Vintage Oasis and Double Room and Peace","50.0"
"219","rent","51.48394","-0.19872","Fab apartment in the heart of Fulham","125.0"
"220","sale","51.45791","-0.32225","2 Bedroom Garden Flat near Richmond","222.0"
"221","rent","51.54966","-0.22342","Comfortable place to base yourself","34.0"
"222","rent","51.53108","-0.18058","Stunning Home in Central London","310.0"
"223","rent","51.47412","-0.01103","Attic Room in historic Greenwich","41.0"
"224","rent","51.51304","-0.19031","Very Central! Bayswater Apartment","500.0"
"225","sale","51.5106","-0.13074","202 double room shower Soho comfy","84.0"
"226","rent","51.51192092895508","-0.1877650022506714","Hyde Park 100 meters away  I","346.0"
"227","sale","51.55178","-0.14735","3-bedroom house",""
"228","sale","51.54113","-0.16878","Dream Apartment in central London","55.0"
"229","sale","51.52522","-0.08514","Ensuite room in artist lofty studio","120.0"
"230","sale","51.60501","-0.11298","A superb self-contained studio flat",""
"231","sale","51.41856","-0.23203","Spacious Double/Triple near Common","85.0"
"232","rent","51.533","-0.06338","Large sunny + incredible location",""
"233","rent","51.61674","-0.14907","Twin Room in lovely Victorian House in N11","91.0"
"234","rent","51.56333","0.00968","Studio 20min Walk from Olympic City",""
"235","rent","51.54539","-0.05763","Hackney central home",""
"236","sale","51.54401","-0.07508","Elegant Boutique 4 bed 3 bath w/ Terraces","390.0"
"237","sale","51.57866","0.16921","15mins frm Centr.London with garden",""
"238","sale","51.49254","-0.30935","2 Bedroom  Cottage (E) with garden London","131.0"
"239","sale","51.51488","-0.19016","Cute 1 bdr flat quiet road central",""
"240","sale","51.4875","-0.19608","Earls Court-London-2 Bed/2 Bath",""
"241","rent","51.4435","-0.1294","White Room in Classic London Town House - Zone 2","82.0"
"242","rent","51.45045","-0.12258","Serene Room in Classic London Town House - Zone 2","81.0"
"243","sale","51.44739","-0.12319","Victorian Room in Classic London Townhouse -Zone 2","93.0"
"244","sale","51.50372","-0.22123","One Bedroom Flat Shepherds Bush","140.0"
"245","sale","51.54146","-0.13735","Stunning Bright flat","99.0"
"246","rent","51.55623","-0.07596","Gorgeous apartment nr Olympics!",""
"247","sale","51.42863","-0.34688","Large Dble Bdrm TV/Wifi nr NPL & St Mary's Uni","47.0"
"248","rent","51.56038","-0.06448","Beautiful Victorian property on historic street","48.0"
"249","sale","51.50331","-0.24071","Single bedroom","50.0"
"250","sale","51.5033","-0.24057","Single room","50.0"
"251","rent","51.61587","0.0468","Bed & Breakfast - Double Room!",""
